Building Parameter,"envelop area, Aenv,i (m2)",Uoriginal W/(m2K),dinsulation (mm),border type,Radd (m2K/W),"Rmeasure,predef,i (m2K/W)","dinsulation,predef,i (mm)","dinsulation,i (mm)","Rmeasure,i(m2K/W)","Thermal_insulation,effective,i (W/(m.K)",type of refurbishment,"Rbefore,i(m2K/W)","Rmeasure,result,i(m2K/W)","Umeasureresult,iW/(m2K)","fmeasure,i","Uactual,iW/(m2K)"
Building Parameter,"envelop area, Aenv,i (m2)",Uoriginal W/(m2K),dinsulation (mm),border type,Radd (m2K/W),"Rmeasure,predef,i (m2K/W)","dinsulation,predef,i (mm)","dinsulation,i (mm)","Rmeasure,i(m2K/W)","Thermal_insulation,effective,i (W/(m.K)",type of refurbishment,"Rbefore,i(m2K/W)","Rmeasure,result,i(m2K/W)","Umeasureresult,iW/(m2K)","fmeasure,i","Uactual,iW/(m2K)"
roof_1,0,0,0,ext,0,5.71,200,139,3.96,0.04,replace,0,3.96,0.253,100,0
roof_2,46.2,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0.508
wall_1,40.4,0,0,ext,0,3.61,120,115,3.46,0.03,replace,0,3.46,0.29,100,1.2
wall_2,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
wall_3,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
floor_1,46.2,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,1.08
floor_2,0,0,0,soil,0,3.5,120,118,3.46,0.03,replace,0,3.46,0.29,100,0
window_1,13.5,0,0,-,0,0,0,0,0.91,0,replace,0,0.91,1.1,100,2.8
window_2,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
door_1,2,0,0,-,0,0,0,0,0.77,0,replace,0,0.77,1.3,100,3
,,,,,,,,,,,,,,,,
Building Parameter,"envelop area, Aenv,i (m2)",Uoriginal W/(m2K),dinsulation (mm),border type,Radd (m2K/W),"Rmeasure,predef,i (m2K/W)","dinsulation,predef,i (mm)","dinsulation,i (mm)","Rmeasure,i(m2K/W)","Thermal_insulation,effective,i (W/(m.K)",type of refurbishment,"Rbefore,i(m2K/W)","Rmeasure,result,i(m2K/W)","Umeasureresult,iW/(m2K)","fmeasure,i","Uactual,iW/(m2K)"
roof_1,0,0,0,ext,0,5.71,200,139,3.96,0.04,replace,0,3.96,0.253,100,0
roof_2,60.85,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0.508
wall_1,53.7,0,0,ext,0,3.61,120,115,3.46,0.03,replace,0,3.46,0.29,100,1
wall_2,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
wall_3,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
floor_1,60.9,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0.77
floor_2,0,0,0,soil,0,3.5,120,118,3.46,0.03,replace,0,3.46,0.29,100,0
window_1,23.4,0,0,-,0,0,0,0,0.91,0,replace,0,0.91,1.1,100,2.8
window_2,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
door_1,2,0,0,-,0,0,0,0,0.77,0,replace,0,0.77,1.3,100,3
,,,,,,,,,,,,,,,,
Building Parameter,"envelop area, Aenv,i (m2)",Uoriginal W/(m2K),dinsulation (mm),border type,Radd (m2K/W),"Rmeasure,predef,i (m2K/W)","dinsulation,predef,i (mm)","dinsulation,i (mm)","Rmeasure,i(m2K/W)","Thermal_insulation,effective,i (W/(m.K)",type of refurbishment,"Rbefore,i(m2K/W)","Rmeasure,result,i(m2K/W)","Umeasureresult,iW/(m2K)","fmeasure,i","Uactual,iW/(m2K)"
roof_1,97.6,0,0,ext,0,5.71,200,139,3.96,0.04,replace,0,3.96,0.253,100,0.5
roof_2,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
wall_1,54.1,0,0,ext,0,3.61,120,115,3.46,0.03,replace,0,3.46,0.29,100,0.8
wall_2,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
wall_3,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
floor_1,73,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0.65
floor_2,0,0,0,soil,0,3.5,120,118,3.46,0.03,replace,0,3.46,0.29,100,0
window_1,20.2,0,0,-,0,0,0,0,0.91,0,replace,0,0.91,1.1,100,2.8
window_2,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
door_1,2,0,0,-,0,0,0,0,0.77,0,replace,0,0.77,1.3,100,3
,,,,,,,,,,,,,,,,
Building Parameter,"envelop area, Aenv,i (m2)",Uoriginal W/(m2K),dinsulation (mm),border type,Radd (m2K/W),"Rmeasure,predef,i (m2K/W)","dinsulation,predef,i (mm)","dinsulation,i (mm)","Rmeasure,i(m2K/W)","Thermal_insulation,effective,i (W/(m.K)",type of refurbishment,"Rbefore,i(m2K/W)","Rmeasure,result,i(m2K/W)","Umeasureresult,iW/(m2K)","fmeasure,i","Uactual,iW/(m2K)"
roof_1,64.9,0,0,ext,0,5.71,200,139,3.96,0.04,replace,0,3.96,0.253,100,0.4
roof_2,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
wall_1,50.9,0,0,ext,0,3.61,120,115,3.46,0.03,replace,0,3.46,0.29,100,0.6
wall_2,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
wall_3,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
floor_1,56.1,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0.51
floor_2,0,0,0,soil,0,3.5,120,118,3.46,0.03,replace,0,3.46,0.29,100,0
window_1,18.8,0,0,-,0,0,0,0,0.91,0,replace,0,0.91,1.1,100,2.8
window_2,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
door_1,2,0,0,-,0,0,0,0,0.77,0,replace,0,0.77,1.3,100,3
,,,,,,,,,,,,,,,,
Building Parameter,"envelop area, Aenv,i (m2)",Uoriginal W/(m2K),dinsulation (mm),border type,Radd (m2K/W),"Rmeasure,predef,i (m2K/W)","dinsulation,predef,i (mm)","dinsulation,i (mm)","Rmeasure,i(m2K/W)","Thermal_insulation,effective,i (W/(m.K)",type of refurbishment,"Rbefore,i(m2K/W)","Rmeasure,result,i(m2K/W)","Umeasureresult,iW/(m2K)","fmeasure,i","Uactual,iW/(m2K)"
roof_1,77.4,0,0,ext,0,5.71,200,139,3.96,0.04,replace,0,3.96,0.253,100,0.35
roof_2,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
wall_1,45.2,0,0,ext,0,3.61,120,115,3.46,0.03,replace,0,3.46,0.29,100,0.6
wall_2,13.9,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0.6
wall_3,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
floor_1,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
floor_2,51.9,0,0,soil,0,3.5,120,118,3.46,0.03,replace,0,3.46,0.29,100,0.45
window_1,22.4,0,0,-,0,0,0,0,0.91,0,replace,0,0.91,1.1,100,1.6
window_2,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
door_1,2.5,0,0,-,0,0,0,0,0.77,0,replace,0,0.77,1.3,100,2
,,,,,,,,,,,,,,,,
Building Parameter,"envelop area, Aenv,i (m2)",Uoriginal W/(m2K),dinsulation (mm),border type,Radd (m2K/W),"Rmeasure,predef,i (m2K/W)","dinsulation,predef,i (mm)","dinsulation,i (mm)","Rmeasure,i(m2K/W)","Thermal_insulation,effective,i (W/(m.K)",type of refurbishment,"Rbefore,i(m2K/W)","Rmeasure,result,i(m2K/W)","Umeasureresult,iW/(m2K)","fmeasure,i","Uactual,iW/(m2K)"
roof_1,91.3,0,0,ext,0,5.71,200,139,3.96,0.04,replace,0,3.96,0.253,100,0.2
roof_2,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
wall_1,140.7,0,0,ext,0,3.61,120,115,3.46,0.03,replace,0,3.46,0.29,100,0.3
wall_2,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
wall_3,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
floor_1,70.7,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0.28
floor_2,0,0,0,soil,0,3.5,120,118,3.46,0.03,replace,0,3.46,0.29,100,0
window_1,36.3,0,0,-,0,0,0,0,0.91,0,replace,0,0.91,1.1,100,1.3
window_2,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
door_1,2,0,0,-,0,0,0,0,0.77,0,replace,0,0.77,1.3,100,2
,,,,,,,,,,,,,,,,
Building Parameter,"envelop area, Aenv,i (m2)",Uoriginal W/(m2K),dinsulation (mm),border type,Radd (m2K/W),"Rmeasure,predef,i (m2K/W)","dinsulation,predef,i (mm)","dinsulation,i (mm)","Rmeasure,i(m2K/W)","Thermal_insulation,effective,i (W/(m.K)",type of refurbishment,"Rbefore,i(m2K/W)","Rmeasure,result,i(m2K/W)","Umeasureresult,iW/(m2K)","fmeasure,i","Uactual,iW/(m2K)"
roof_1,75.7,0,0,ext,0,5.71,200,139,3.96,0.04,replace,0,3.96,0.253,100,0.2
roof_2,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
wall_1,137.8,0,0,ext,0,3.61,120,115,3.46,0.03,replace,0,3.46,0.29,100,0.28
wall_2,69.2,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0.28
wall_3,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
floor_1,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
floor_2,67.8,0,0,soil,0,3.5,120,118,3.46,0.03,replace,0,3.46,0.29,100,0.35
window_1,25.5,0,0,-,0,0,0,0,0.91,0,replace,0,0.91,1.1,100,1.3
window_2,2.6,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,1.3
door_1,2.7,0,0,-,0,0,0,0,0.77,0,replace,0,0.77,1.3,100,1.8
,,,,,,,,,,,,,,,,
Building Parameter,"envelop area, Aenv,i (m2)",Uoriginal W/(m2K),dinsulation (mm),border type,Radd (m2K/W),"Rmeasure,predef,i (m2K/W)","dinsulation,predef,i (mm)","dinsulation,i (mm)","Rmeasure,i(m2K/W)","Thermal_insulation,effective,i (W/(m.K)",type of refurbishment,"Rbefore,i(m2K/W)","Rmeasure,result,i(m2K/W)","Umeasureresult,iW/(m2K)","fmeasure,i","Uactual,iW/(m2K)"
roof_1,75.7,0,0,ext,0,5.71,200,139,3.96,0.04,replace,0,3.96,0.253,100,0.134
roof_2,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
wall_1,137.8,0,0,ext,0,3.61,120,115,3.46,0.03,replace,0,3.46,0.29,100,0.16
wall_2,69.2,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0.16
wall_3,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
floor_1,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
floor_2,67.8,0,0,soil,0,3.5,120,118,3.46,0.03,replace,0,3.46,0.29,100,0.16
window_1,25.5,0,0,-,0,0,0,0,0.91,0,replace,0,0.91,1.1,100,1.1
window_2,2.6,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,1.1
door_1,2.7,0,0,-,0,0,0,0,0.77,0,replace,0,0.77,1.3,100,1.3
